Entity,Code,Day,average_deaths_2015_2019_all_ages,deaths_2020_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages,Population
Albania,ALB,2020-01-31,2447.8,2187.0,2490.0,2065.0,3129.0,2158.0,2397.0,2977.0,2881000
Albania,ALB,2020-02-29,1975.2,2018.0,2139.0,1905.0,1845.0,2013.0,1974.0,3738.0,2881000
Albania,ALB,2020-03-31,1980.8,1993.0,2051.0,1910.0,1817.0,2136.0,1990.0,2942.0,2881000
Albania,ALB,2020-04-30,1747.6,1804.0,1906.0,1652.0,1665.0,1828.0,1687.0,,2881000
Albania,ALB,2020-05-31,1698.6,1803.0,1709.0,1716.0,1660.0,1664.0,1744.0,,2881000
Albania,ALB,2020-06-30,1627.6,1779.0,1561.0,1678.0,1605.0,1576.0,1718.0,,2881000
Albania,ALB,2020-07-31,1764.8,2166.0,2008.0,1643.0,1788.0,1641.0,1744.0,,2881000
Albania,ALB,2020-08-31,1708.2,2476.0,1687.0,1578.0,1833.0,1709.0,1734.0,,2881000
Albania,ALB,2020-09-30,1531.8,1982.0,1569.0,1459.0,1482.0,1621.0,1528.0,,2881000
Albania,ALB,2020-10-31,1664.6,2403.0,1560.0,1743.0,1679.0,1668.0,1673.0,,2881000
Albania,ALB,2020-11-30,1764.2,3854.0,1728.0,1855.0,1716.0,1730.0,1792.0,,2881000
Albania,ALB,2020-12-31,2044.6,3140.0,2010.0,2184.0,2013.0,2060.0,1956.0,,2881000
Andorra,AND,2020-01-31,33.0,34.0,22.0,27.0,49.0,38.0,29.0,,77000
Andorra,AND,2020-02-29,26.4,37.0,25.0,21.0,29.0,28.0,29.0,,77000
Andorra,AND,2020-03-31,30.8,40.0,29.0,31.0,39.0,36.0,19.0,,77000
Andorra,AND,2020-04-30,22.8,60.0,26.0,19.0,22.0,21.0,26.0,,77000
Andorra,AND,2020-05-31,20.0,36.0,26.0,22.0,17.0,16.0,19.0,,77000
Andorra,AND,2020-06-30,24.2,26.0,16.0,25.0,26.0,31.0,23.0,,77000
Andorra,AND,2020-07-31,25.8,29.0,27.0,32.0,17.0,23.0,30.0,,77000
